composer_id,composer_name,popularity
16463,Howard Goodall,5.886
1150062,Kurt von Ruffin,1.266
1505059,Yuki Hayashi,7.762
3667327,Ulaş Özdemir,0.518
3152969,Milind Borde,0.005
2614155,Rehaan,0.104
3080514,Simon Berry,0.069
3152409,Jahlil Beats,0.277
3827530,Bengt Hallberg,0.011
1436060,Ulf Peder Olrog,0.298
3827659,Bengt Ernryd,0.52
3826779,William Lind,0.332
70062,Georg Riedel,5.551
3827328,Gunnar Svensson,0.005
3828411,Rune Carlsson,0.118
3828417,Lars Olofsson,0.349
3386776,Jonatan Järpehag,0.521
3828427,Arne Wilhelmsson,0.056
3386759,Johan Rammelt,0.149
1176242,Lena Philipsson,5.607
1565836,Claes Rosendahl,0.06
3827808,Lars Bagge,0.008
3828413,Rune Gustavsson,0.108
3828224,Sture Olsson,0.076
3083854,Fredrik Söderström,0.56
3862,Björn Isfält,5.942
2503770,Egil Johansen,1.401
1685253,Erna Tauro,0.195
2258400,Andreas Mattsson,1.427
3827921,Lasse Dahlberg,0.028
222479,Jimmy Lagnefors,4.528
2761872,Jonas Wikstrand,1.054
1901937,Tristan Clopet,2.058
937927,Chris Hajian,4.278
1408706,Chris McGeary,2.703
1901938,Ian Broucek,1.922
1408705,Angela Claverie,4.323
3218506,Martin Robert,0.028
1608821,Riccardo Vantellini,0.549
37922,Georges Moustaki,7.248
48872,Peppino Di Capri,2.97
2839092,Enri Lolashvili,0.824
1993112,Jean-Olivier Bégin,0.547
9245,Nicola Piovani,7.515
1493765,Masaru Yokoyama,11.481
2087982,Yoshinori Sunahara,1.434
1554588,Diego Monk,2.901
1409335,Harry Macourek,1.342
550601,Norimasa Yamanaka,4.109
1118984,Nora Kroll-Rosenbaum,1.58
3201676,Afterhere,0.941
1509582,Frank Denson,2.059
2971779,Yoshimoto Ishikawa,4.868
4313635,Ryota Shinozaki,1.531
1782246,Hiroko Sebu,4.161
2267458,Daniel Figueiredo,1.362
2267467,Igor Ledermann,1.221
2408472,Achint Thakkar,2.64
2127125,Sergey Zhukov,5.575
2735089,Roahn Hylton,0.656
1314469,Jacob Yoffee,1.037
81207,Matti Bye,2.005
1428000,Joel Danell,1.877
189406,Ron Jones,4.519
3034943,Mark Mueller,1.584
2488689,Ack Kinmonth,2.509
1001837,Todd Haberman,3.587
1497319,Mac Quayle,7.482
2654988,Igor Babaev,1.065
2471636,David Firman,0.802
138175,Victoria Wood,9.145
3603622,Mayuni Omar,2.475
1206432,Sahir Ali Bagga,1.613
553914,Kei Wakakusa,6.545
14749,Michael Lloyd,4.382
1392164,Jim Ervin,2.89
1634374,Tommy Oliver,1.802
1403228,Laurence Juber,1.37
1637511,Keith Heffner,0.441
