director_id,director_name,popularity
203039,Anders Lenhoff,1.921
145522,Aydın Bulut,4.085
1794185,Kirill Kapitsa,2.912
2117587,Sergey Malyugov,1.712
2117571,Pavel Simonov,0.545
81761,Andrey Kravchuk,9.028
1304717,Dmitriy Svetozarov,2.703
2268346,Andrey Morozov,3.29
1478762,Vitali Aksyonov,2.282
7588,Aleksandr Rogozhkin,6.337
82516,Vladimir Bortko,6.162
222323,Hiroyuki Kakudou,5.782
1608523,Hideyuki Tanaka,8.408
551642,Eiji Suganuma,8.603
1224743,Christine Gernon,5.488
152134,Peter Lydon,3.284
47646,Catherine Tate,25.774
138175,Victoria Wood,9.145
1278907,Mike Christie,2.827
3359197,Tiphaine Donà,0.001
2602248,Johannes Buchholz,2.015
3805856,Yuji Sato,0.668
1704170,Shinsuke Yanagi,8.745
2399197,Takahiro Sasaki,1.671
2394650,Reika Hoshino,3.875
1853572,Oh Hyun-jong,3.835
989366,Han Hee,4.712
236469,Mamoru Hoshi,6.439
1192043,Masaki Nishiura,5.617
135208,Akira Tanaka,10.86
3151695,Serpil Kurtça,1.823
3667329,Mahir Gül,0.053
145506,Raşit Çelikezer,2.485
150259,Osman Sınav,9.04
3036485,Tanveer Hashmi,1.4
2523849,Shikha Sinha,10.844
2993250,Jayati Thakar,32.409
116371,Kazuhiro Furuhashi,11.851
1317968,Shunji Yoshida,7.098
1842756,Yoshinari Suzuki,5.102
2149812,Yukihiro Matsushita,3.498
2911315,Shinya Hanai,3.954
3820569,Yoshimitsu Tsuda,2.761
1887077,Toshiyuki Kato,2.174
1083453,Masahiro Hosoda,8.943
1536166,Satoshi Saga,2.611
1374811,Shinobu Tagashira,8.737
1408426,Keitaro Motonaga,5.629
1144111,Shinpei Miyashita,4.284
3841668,Takayoshi Suzuki,0.218
1256824,Akira Matsushima,8.477
1324467,Kenichi Imaizumi,7.045
1373467,Masaaki Kannan,3.222
2498783,Tomoaki Sakiyama,5.525
1451948,Takayuki Goto,5.281
2199435,Masahiro Kase,2.923
1424868,Koichi Hatsumi,5.198
1848293,Tomoki Mizuno,4.177
1672337,Takashi Sogabe,5.088
2237518,Satoru Iriyoshi,2.107
1975754,Masahide Yanagisawa,3.716
1048429,Tamas Fejer,2.596
2615730,Naaga,0.784
2614156,C. J. Bhaskar,0.062
2614155,Rehaan,0.104
120075,Dawid Minnaar,6.601
1647258,Victoria Vellopoulou,0.309
2974333,Quincy LeNear Gossfield,1.688
3131492,Deondray Gossfield,0.779
69038,Carlo Vanzina,12.988
566166,Natsuki Imai,2.96
3126936,Sanjay Shastri,0.688
1251448,David McMahon,1.77
152456,Sarah Burns,1.652
204484,Ken Burns,9.835
3155964,Brad Gustafson,0.42
3147449,Li Yu Lei,0.325
2415635,Zhào Yúnzé,0.001
2619946,Xin Zhang,0.001
589507,Ryszard Zatorski,9.181
116721,Trond-Viggo Torgersen,2.895
2455922,Tatsuzo Inohara,1.56
2190508,Yasushi Hasegawa,1.666
1809892,Naoki Tamura,3.473
2171542,Sami Saydan,2.166
1577606,Türkan Derya,5.662
22326,Olof Johnson,4.637
1315994,Andrés Rignell,3.342
2061100,olle lundin,0.591
928006,Johan Phillips,1.103
1683978,Trolle Davidson,2.957
1769131,Johan Holmquist,1.796
1926564,Viktor Davidson,1.174
1882204,Jens Harvard,0.741
3827296,Christina Lagerson,1.096
3827571,Rolf Lagergren,0.064
3826769,Allan-Rune Pettersson,0.055
3827494,Claes Söderquist,0.023
105113,Lars Lennart Forsberg,2.447
222478,Leif Lindblom,7.653
3827493,Johan Clason,0.054
3849,Tage Danielsson,6.748
3827527,Leif Krantz,0.044
75597,Beppe Wolgers,7.263
213427,Bo Hermansson,7.283
1128369,Emma Bucht,3.973
1252593,Fredde Granberg,11.663
2813236,Oskar Mellander,0.891
1609124,Tomas Löfdahl,0.515
3827795,Björn Barlach,0.006
3292271,Thomas Claesson,1.579
1136965,Stefan Roos,9.022
3386757,Carl Åstrand,0.89
2309525,Kari Thomée,0.182
2813235,Tord Danielsson,4.259
3827553,Pi Lind,0.019
1252598,Per Simonsson,3.875
3828275,Staffan Westerberg,0.005
1420355,Karin af Klintberg,1.841
3828216,Allan Schulman,0.473
3827930,Annika Brunander,0.005
81210,Stephan Apelgren,6.852
3827599,Hans Abramson,0.428
2116211,Lars In de Betou,0.89
2312392,Dan Zethraeus,0.659
1696772,Christina Lagerson,0.479
2310273,Annika de Ruvo,0.188
1608532,Marta Gogálová,2.768
61796,Peter A. Holland,0.78
1374810,Timothy A. Burton,2.122
1901843,Jana Camacho,2.591
134604,Ben Ketai,10.436
2443482,John Nolan,2.3
1901946,Joel Nishimine,2.577
1903057,John Elmore,2.978
74436,Olly Blackburn,6.591
1316670,Ryan Miningham,2.474
88084,Luis Prieto,9.72
79683,Andrew Neel,4.999
2402790,Leszek Gnoiński,2.144
1247470,Shin Oonuma,5.389
1685889,Kyohei Ishiguro,8.267
3218507,Alexandre Boudreault,0.134
3218508,David Ferland,0.103
3218504,Jean-François Legentil,0.001
3218505,Hugues Savoie,0.045
3084937,Şengül Halat Atak,0.318
1084285,Songsak Mongkolthong,3.893
1183415,Alain Wermus,2.901
1608816,Piero Turchetti,0.057
1154462,Stefano Vicario,6.072
3137387,김은지,0.019
1253075,Satoshi Shimizu,8.814
2912836,Yuri Ichinose,8.174
2630549,Chisholm McTavish,0.728
76657,Anthony Field,12.004
1341253,Martin Murphy,1.235
