composer1,composer2,linking_id
1436060,3827530,126209
3827530,3827659,126209
3826779,3827530,126209
70062,3827530,126209
3827328,3827530,126209
3827530,3828411,126209
3827530,3828417,126209
3386776,3827530,126209
3827530,3828427,126209
3386759,3827530,126209
1176242,3827530,126209
1565836,3827530,126209
3827530,3827808,126209
3827530,3828413,126209
3827530,3828224,126209
3083854,3827530,126209
3862,3827530,126209
2503770,3827530,126209
1685253,3827530,126209
2258400,3827530,126209
3827530,3827921,126209
222479,3827530,126209
2761872,3827530,126209
1436060,3827659,126209
1436060,3826779,126209
70062,1436060,126209
1436060,3827328,126209
1436060,3828411,126209
1436060,3828417,126209
1436060,3386776,126209
1436060,3828427,126209
1436060,3386759,126209
1176242,1436060,126209
1436060,1565836,126209
1436060,3827808,126209
1436060,3828413,126209
1436060,3828224,126209
1436060,3083854,126209
3862,1436060,126209
1436060,2503770,126209
1436060,1685253,126209
1436060,2258400,126209
1436060,3827921,126209
222479,1436060,126209
1436060,2761872,126209
3826779,3827659,126209
70062,3827659,126209
3827328,3827659,126209
3827659,3828411,126209
3827659,3828417,126209
3386776,3827659,126209
3827659,3828427,126209
3386759,3827659,126209
1176242,3827659,126209
1565836,3827659,126209
3827659,3827808,126209
3827659,3828413,126209
3827659,3828224,126209
3083854,3827659,126209
3862,3827659,126209
2503770,3827659,126209
1685253,3827659,126209
2258400,3827659,126209
3827659,3827921,126209
222479,3827659,126209
2761872,3827659,126209
70062,3826779,126209
3826779,3827328,126209
3826779,3828411,126209
3826779,3828417,126209
3386776,3826779,126209
3826779,3828427,126209
3386759,3826779,126209
1176242,3826779,126209
1565836,3826779,126209
3826779,3827808,126209
3826779,3828413,126209
3826779,3828224,126209
3083854,3826779,126209
3862,3826779,126209
2503770,3826779,126209
1685253,3826779,126209
2258400,3826779,126209
3826779,3827921,126209
222479,3826779,126209
2761872,3826779,126209
70062,3827328,126209
70062,3828411,126209
70062,3828417,126209
70062,3386776,126209
70062,3828427,126209
70062,3386759,126209
70062,1176242,126209
70062,1565836,126209
70062,3827808,126209
70062,3828413,126209
70062,3828224,126209
70062,3083854,126209
3862,70062,126209
70062,2503770,126209
70062,1685253,126209
70062,2258400,126209
70062,3827921,126209
70062,222479,126209
70062,2761872,126209
3827328,3828411,126209
3827328,3828417,126209
3386776,3827328,126209
3827328,3828427,126209
3386759,3827328,126209
1176242,3827328,126209
1565836,3827328,126209
3827328,3827808,126209
3827328,3828413,126209
3827328,3828224,126209
3083854,3827328,126209
3862,3827328,126209
2503770,3827328,126209
1685253,3827328,126209
2258400,3827328,126209
3827328,3827921,126209
222479,3827328,126209
2761872,3827328,126209
3828411,3828417,126209
3386776,3828411,126209
3828411,3828427,126209
3386759,3828411,126209
1176242,3828411,126209
1565836,3828411,126209
3827808,3828411,126209
3828411,3828413,126209
3828224,3828411,126209
3083854,3828411,126209
3862,3828411,126209
2503770,3828411,126209
1685253,3828411,126209
2258400,3828411,126209
3827921,3828411,126209
222479,3828411,126209
2761872,3828411,126209
3386776,3828417,126209
3828417,3828427,126209
3386759,3828417,126209
1176242,3828417,126209
1565836,3828417,126209
3827808,3828417,126209
3828413,3828417,126209
3828224,3828417,126209
3083854,3828417,126209
3862,3828417,126209
2503770,3828417,126209
1685253,3828417,126209
2258400,3828417,126209
3827921,3828417,126209
222479,3828417,126209
2761872,3828417,126209
3386776,3828427,126209
3386759,3386776,126209
1176242,3386776,126209
1565836,3386776,126209
3386776,3827808,126209
3386776,3828413,126209
3386776,3828224,126209
3083854,3386776,126209
3862,3386776,126209
2503770,3386776,126209
1685253,3386776,126209
2258400,3386776,126209
3386776,3827921,126209
222479,3386776,126209
2761872,3386776,126209
3386759,3828427,126209
1176242,3828427,126209
1565836,3828427,126209
3827808,3828427,126209
3828413,3828427,126209
3828224,3828427,126209
3083854,3828427,126209
3862,3828427,126209
2503770,3828427,126209
1685253,3828427,126209
2258400,3828427,126209
3827921,3828427,126209
222479,3828427,126209
2761872,3828427,126209
1176242,3386759,126209
1565836,3386759,126209
3386759,3827808,126209
3386759,3828413,126209
3386759,3828224,126209
3083854,3386759,126209
3862,3386759,126209
2503770,3386759,126209
1685253,3386759,126209
2258400,3386759,126209
3386759,3827921,126209
222479,3386759,126209
2761872,3386759,126209
1176242,1565836,126209
1176242,3827808,126209
1176242,3828413,126209
1176242,3828224,126209
1176242,3083854,126209
3862,1176242,126209
1176242,2503770,126209
1176242,1685253,126209
1176242,2258400,126209
1176242,3827921,126209
222479,1176242,126209
1176242,2761872,126209
1565836,3827808,126209
1565836,3828413,126209
1565836,3828224,126209
1565836,3083854,126209
3862,1565836,126209
1565836,2503770,126209
1565836,1685253,126209
1565836,2258400,126209
1565836,3827921,126209
222479,1565836,126209
1565836,2761872,126209
3827808,3828413,126209
3827808,3828224,126209
3083854,3827808,126209
3862,3827808,126209
2503770,3827808,126209
1685253,3827808,126209
2258400,3827808,126209
3827808,3827921,126209
222479,3827808,126209
2761872,3827808,126209
3828224,3828413,126209
3083854,3828413,126209
3862,3828413,126209
2503770,3828413,126209
1685253,3828413,126209
2258400,3828413,126209
3827921,3828413,126209
222479,3828413,126209
2761872,3828413,126209
3083854,3828224,126209
3862,3828224,126209
2503770,3828224,126209
1685253,3828224,126209
2258400,3828224,126209
3827921,3828224,126209
222479,3828224,126209
2761872,3828224,126209
3862,3083854,126209
2503770,3083854,126209
1685253,3083854,126209
2258400,3083854,126209
3083854,3827921,126209
222479,3083854,126209
2761872,3083854,126209
3862,2503770,126209
3862,1685253,126209
3862,2258400,126209
3862,3827921,126209
